Importers	2020-Imported unit value	2020-Unit	2021-Imported unit value	2021-Unit	2022-Imported unit value	2022-Unit	2023-Imported unit value	2023-Unit	2024-Imported unit value	2024-Unit	Imported value in 2024, US Dollar thousand	Imported quantity in 2024	Quantity Unit in 2024	
"World"											16289143	0	No quantity	
"United States of America"	6.37	US Dollar/Units	6.23	US Dollar/Units	6.93	US Dollar/Units	7.13	US Dollar/Units	7.04	US Dollar/Units	2279235	323981100	Units	
"Korea, Republic of"	39031	US Dollar/Tons	70763	US Dollar/Tons	90644	US Dollar/Tons	67328	US Dollar/Tons	67269	US Dollar/Tons	1823791	27112	Tons	
"China"	29795	US Dollar/Tons	32317	US Dollar/Tons	33609	US Dollar/Tons	34865	US Dollar/Tons	35459	US Dollar/Tons	1258876	35502	Tons	
"Germany"	29964	US Dollar/Tons	31202	US Dollar/Tons	32146	US Dollar/Tons	38358	US Dollar/Tons	38643	US Dollar/Tons	1173800	30376	Tons	
"Mexico"	33297	US Dollar/Tons	35627	US Dollar/Tons	37273	US Dollar/Tons	3.40	US Dollar/Units	40578	US Dollar/Tons	893275	22014	Tons	
"Hong Kong, China"	34139	US Dollar/Tons	1.17	US Dollar/Units	1.25	US Dollar/Units	0.99	US Dollar/Units	1.54	US Dollar/Units	645412	418898654	Units	
"Japan"	20739	US Dollar/Tons	21389	US Dollar/Tons	21891	US Dollar/Tons	22854	US Dollar/Tons	22476	US Dollar/Tons	583235	25949	Tons	
"Thailand"	1.92	US Dollar/Units	2.05	US Dollar/Units	2.34	US Dollar/Units	2.45	US Dollar/Units	2.27	US Dollar/Units	579837	255877155	Units	
"Czech Republic"	9778	US Dollar/Tons	11660	US Dollar/Tons	7903	US Dollar/Units	12575	US Dollar/Tons	16090	US Dollar/Tons	493243	30655	Tons	
"India"	35639	US Dollar/Tons	37037	US Dollar/Tons	36787	US Dollar/Tons	1.47	US Dollar/Units	1.51	US Dollar/Units	380307	251330620	Units	
"Viet Nam"	35639	US Dollar/Tons	35629	US Dollar/Tons	37271	US Dollar/Tons	40199	US Dollar/Tons	40197	US Dollar/Tons	369211	9185	Tons	
"France"	25198	US Dollar/Tons	26859	US Dollar/Tons	26668	US Dollar/Tons	26982	US Dollar/Tons	28497	US Dollar/Tons	348237	12220	Tons	
"Netherlands"	29934	US Dollar/Tons	30966	US Dollar/Tons	25411	US Dollar/Tons	26362	US Dollar/Tons	25695	US Dollar/Tons	337935	13152	Tons	
"Italy"	12290	US Dollar/Tons	14235	US Dollar/Tons	15102	US Dollar/Tons	15254	US Dollar/Tons	16656	US Dollar/Tons	336572	20207	Tons	
"Poland"	18566	US Dollar/Tons	18602	US Dollar/Tons	19345	US Dollar/Tons	20135	US Dollar/Tons	20241	US Dollar/Tons	328051	16207	Tons	
"Canada"	8.25	US Dollar/Units	8.86	US Dollar/Units	10	US Dollar/Units	11	US Dollar/Units	11	US Dollar/Units	322645	30113561	Units	
"United Kingdom"	32848	US Dollar/Tons	32355	US Dollar/Tons	33237	US Dollar/Tons	33935	US Dollar/Tons	33391	US Dollar/Tons	286666	8585	Tons	
"Austria"	26784	US Dollar/Tons	29646	US Dollar/Tons	30348	US Dollar/Tons	33575	US Dollar/Tons	32656	US Dollar/Tons	257950	7899	Tons	
"Spain"	13166	US Dollar/Tons	12236	US Dollar/Tons	13126	US Dollar/Tons	13994	US Dollar/Tons	16965	US Dollar/Tons	236320	13930	Tons	
"Hungary"	19731	US Dollar/Tons	24478	US Dollar/Tons	18003	US Dollar/Tons	25419	US Dollar/Tons	21658	US Dollar/Tons	233951	10802	Tons	
"Slovakia"	21001	US Dollar/Tons	20211	US Dollar/Tons	21837	US Dollar/Tons	25461	US Dollar/Tons	23213	US Dollar/Tons	229947	9906	Tons	
"Brazil"	10475	US Dollar/Tons	10495	US Dollar/Tons	12736	US Dollar/Tons	11882	US Dollar/Tons	10770	US Dollar/Tons	223600	20761	Tons	
"Türkiye"	12322	US Dollar/Tons	12679	US Dollar/Tons	14126	US Dollar/Tons	14562	US Dollar/Tons	13548	US Dollar/Tons	220832	16299	Tons	
"Philippines"	8162	US Dollar/Tons	10463	US Dollar/Tons	8464	US Dollar/Tons	11361	US Dollar/Tons	11126	US Dollar/Tons	207008	18606	Tons	
